change,term,cabinet
-1,climate change,non-cabinet
-1,climate change,non-cabinet
-1,climate change,non-cabinet
-1,climate change,non-cabinet
-1,climate change,non-cabinet
-1,climate change,non-cabinet
-1,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
0,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
1,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
2,climate change,non-cabinet
3,climate change,non-cabinet
3,climate change,non-cabinet
3,climate change,non-cabinet
3,climate change,non-cabinet
3,climate change,non-cabinet
3,climate change,non-cabinet
4,climate change,non-cabinet
4,climate change,non-cabinet
4,climate change,non-cabinet
4,climate change,non-cabinet
5,climate change,non-cabinet
6,climate change,non-cabinet
7,climate change,non-cabinet
7,climate change,non-cabinet
7,climate change,non-cabinet
13,climate change,non-cabinet
13,climate change,non-cabinet
16,climate change,non-cabinet
18,climate change,non-cabinet
-78,climate change,cabinet
-60,climate change,cabinet
-58,climate change,cabinet
-49,climate change,cabinet
-48,climate change,cabinet
-44,climate change,cabinet
-40,climate change,cabinet
-40,climate change,cabinet
-37,climate change,cabinet
-37,climate change,cabinet
-36,climate change,cabinet
-35,climate change,cabinet
-35,climate change,cabinet
-34,climate change,cabinet
-33,climate change,cabinet
-32,climate change,cabinet
-32,climate change,cabinet
-32,climate change,cabinet
-31,climate change,cabinet
-31,climate change,cabinet
-29,climate change,cabinet
-27,climate change,cabinet
-27,climate change,cabinet
-27,climate change,cabinet
-25,climate change,cabinet
-25,climate change,cabinet
-24,climate change,cabinet
-24,climate change,cabinet
-24,climate change,cabinet
-21,climate change,cabinet
-21,climate change,cabinet
-19,climate change,cabinet
-17,climate change,cabinet
-16,climate change,cabinet
-14,climate change,cabinet
-13,climate change,cabinet
-13,climate change,cabinet
-12,climate change,cabinet
-12,climate change,cabinet
-11,climate change,cabinet
-10,climate change,cabinet
-9,climate change,cabinet
-8,climate change,cabinet
-8,climate change,cabinet
-7,climate change,cabinet
-7,climate change,cabinet
-6,climate change,cabinet
-5,climate change,cabinet
-5,climate change,cabinet
-4,climate change,cabinet
-4,climate change,cabinet
-4,climate change,cabinet
-4,climate change,cabinet
-4,climate change,cabinet
-4,climate change,cabinet
-3,climate change,cabinet
-3,climate change,cabinet
-3,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-2,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
-1,climate change,cabinet
